ICD10CMCode,TotalDiag,,
S56.211S,0,0,1
S56.221S,0,0,2
S56.291A,0,0,1
S56.292S,0,0,1
S56.403D,0,0,1
S56.425S,0,0,1
S56.427S,0,0,1
S56.428S,0,0,1
S56.429D,0,0,1
S56.491D,0,0,1
S56.499A,0,0,2
S56.511D,0,0,2
S56.512D,0,0,1
S56.591A,0,0,6
S56.822S,0,0,1
S57.02XD,0,0,1
S57.81XS,0,0,2
S57.82XS,0,0,1
S58.011D,0,0,1
S58.111D,0,0,1
S58.111S,0,0,1
S59.001K,0,0,1
S59.002G,0,0,1
S59.021S,0,0,1
S59.092G,0,0,1
S59.201K,0,0,1
S59.201S,0,0,1
S59.202P,0,0,1
S59.221S,0,0,3
S59.222P,0,0,4
S59.241K,0,0,1
S59.241P,0,0,1
S59.292P,0,0,3
S59.811S,0,0,1
S60.412S,0,0,2
S60.414S,0,0,3
S60.453S,0,0,1
S60.821D,0,0,1
S60.851S,0,0,1
S61.142D,0,0,1
S61.255S,0,0,1
S61.258S,0,0,1
S61.304S,0,0,1
S61.310S,0,0,1
S61.312S,0,0,1
S61.337D,0,0,1
S61.441S,0,0,1
S61.449D,0,0,1
S62.009K,0,0,1
S62.011G,0,0,1
S62.011K,0,0,13
S62.012B,0,0,1
S62.012P,0,0,1
S62.015K,0,0,1
S62.021G,0,0,1
S62.022B,0,0,1
S62.022P,0,0,1
S62.023D,0,0,1
S62.024G,0,0,1
S62.024S,0,0,1
S62.025G,0,0,2
S62.025K,0,0,14
S62.031B,0,0,1
S62.031K,0,0,34
S62.031S,0,0,1
S62.032B,0,0,1
S62.032S,0,0,1
S62.034G,0,0,2
S62.034K,0,0,4
S62.035D,0,0,1
S62.035K,0,0,2
S62.109S,0,0,2
S62.121P,0,0,1
S62.121S,0,0,2
S62.131G,0,0,1
S62.131P,0,0,1
S62.131S,0,0,1
S62.132B,0,0,1
S62.141P,0,0,2
S62.142G,0,0,1
S62.142K,0,0,1
S62.143S,0,0,1
S62.144K,0,0,1
S62.145K,0,0,1
S62.151G,0,0,1
S62.151K,0,0,7
S62.152D,0,0,1
S62.153K,0,0,1
S62.154K,0,0,1
S62.155D,0,0,1
S62.155K,0,0,2
S62.172K,0,0,1
S62.174B,0,0,1
S62.182B,0,0,1
S62.201K,0,0,1
S62.201P,0,0,2
S62.202G,0,0,1
S62.202S,0,0,1
S62.211K,0,0,1
S62.211P,0,0,7
S62.212P,0,0,3
S62.212S,0,0,1
S62.221D,0,0,1
S62.221P,0,0,1
S62.222D,0,0,3
S62.222P,0,0,1
S62.222S,0,0,1
S62.231S,0,0,1
S62.232P,0,0,3
S62.241P,0,0,1
S62.242G,0,0,1
S62.242P,0,0,1
S62.244D,0,0,1
S62.251P,0,0,2
S62.255B,0,0,1
S62.255D,0,0,1
S62.291S,0,0,1
S62.292P,0,0,1
S62.300P,0,0,6
S62.301K,0,0,2
S62.302P,0,0,3
S62.303K,0,0,2
S62.307K,0,0,2
S62.309K,0,0,2
S62.312P,0,0,1
S62.314P,0,0,3
S62.315K,0,0,2
S62.315P,0,0,1
S62.317K,0,0,1
S62.317P,0,0,2
S62.318B,0,0,1
S62.319B,0,0,1
S62.319P,0,0,2
S62.319S,0,0,4
S62.320K,0,0,1
S62.320P,0,0,4
S62.321K,0,0,1
S62.321P,0,0,1
S62.322K,0,0,1
S62.322P,0,0,2
S62.323K,0,0,1
S62.323P,0,0,1
S62.323S,0,0,1
S62.329S,0,0,2
S62.331P,0,0,2
S62.332P,0,0,1
S62.333P,0,0,1
S62.334K,0,0,1
S62.340P,0,0,1
S62.345B,0,0,1
S62.350K,0,0,1
S62.351K,0,0,1
S62.391P,0,0,2
S62.393P,0,0,1
S62.393S,0,0,1
S62.394P,0,0,1
S62.397P,0,0,2
S62.398P,0,0,1
S62.398S,0,0,1
S62.399K,0,0,1
S62.501K,0,0,3
S62.512K,0,0,1
S62.512P,0,0,3
S62.521S,0,0,2
S62.522K,0,0,2
S62.524S,0,0,1
S62.600P,0,0,1
S62.601K,0,0,1
S62.601P,0,0,1
S62.603K,0,0,1
S62.603P,0,0,1
S62.610K,0,0,1
S62.611P,0,0,5
S62.613K,0,0,3
S62.613P,0,0,5
S62.614G,0,0,2
S62.614K,0,0,2
S62.614P,0,0,9
S62.617P,0,0,20
S62.618K,0,0,1
S62.619S,0,0,1
S62.620P,0,0,1
S62.621P,0,0,2
S62.622P,0,0,4
S62.622S,0,0,2
S62.623K,0,0,2
S62.624K,0,0,1
S62.624S,0,0,1
S62.625G,0,0,1
S62.625K,0,0,1
S62.625P,0,0,3
S62.625S,0,0,2
S62.626K,0,0,3
S62.626P,0,0,5
S62.626S,0,0,4
S62.627K,0,0,1
S62.629D,0,0,1
S62.630P,0,0,3
S62.631K,0,0,4
S62.633K,0,0,2
S62.633P,0,0,2
S62.634K,0,0,3
S62.635K,0,0,9
S62.635P,0,0,4
S62.636P,0,0,4
S62.637K,0,0,3
S62.637P,0,0,1
S62.641P,0,0,1
S62.643S,0,0,1
S62.644P,0,0,3
S62.645P,0,0,1
S62.645S,0,0,1
S62.646P,0,0,1
S62.647K,0,0,1
S62.649D,0,0,1
S62.651P,0,0,1
S62.652S,0,0,1
S62.653S,0,0,2
S62.654K,0,0,1
S62.655K,0,0,1
S62.661K,0,0,1
S62.661S,0,0,1
S62.664K,0,0,1
S62.90XP,0,0,1
S62.92XP,0,0,1
S63.003A,0,0,1
S63.005S,0,0,1
S63.006S,0,0,1
S63.011D,0,0,1
S63.012D,0,0,2
S63.014S,0,0,2
S63.016A,0,0,1
S63.022A,0,0,3
S63.024D,0,0,2
S63.025D,0,0,2
S63.035D,0,0,1
S63.035S,0,0,1
S63.041S,0,0,1
S63.045S,0,0,1
S63.052D,0,0,1
S63.052S,0,0,1
S63.054S,0,0,4
S63.055S,0,0,1
S63.056S,0,0,1
S63.072S,0,0,1
S63.091D,0,0,1
S63.094S,0,0,1
S63.095S,0,0,1
S63.102S,0,0,1
S63.111D,0,0,1
S63.114D,0,0,6
S63.114S,0,0,3
S63.115S,0,0,1
S63.122S,0,0,1
S63.144D,0,0,1
S63.212A,0,0,1
S63.219A,0,0,2
S63.221A,0,0,1
S63.225A,0,0,1
S63.226S,0,0,1
S63.247D,0,0,1
S63.259S,0,0,1
S63.261D,0,0,1
S63.267S,0,0,1
S63.269S,0,0,1
S63.279S,0,0,1
S63.281S,0,0,1
S63.284S,0,0,2
S63.286S,0,0,2
S63.287S,0,0,2
S63.289D,0,0,3
S63.294D,0,0,1
S63.295D,0,0,1
S63.319S,0,0,1
S63.322A,0,0,4
S63.331D,0,0,3
S63.332A,0,0,5
S63.391S,0,0,3
S63.392D,0,0,3
S63.392S,0,0,1
S63.411D,0,0,1
S63.413A,0,0,3
S63.416A,0,0,2
S63.417A,0,0,9
S63.417D,0,0,1
S63.418S,0,0,1
S63.419D,0,0,3
S63.422A,0,0,1
S63.430A,0,0,1
S63.436A,0,0,2
S63.437A,0,0,3
S63.437S,0,0,1
S63.439D,0,0,1
S63.491D,0,0,1
S63.493D,0,0,1
S63.495D,0,0,1
S63.497A,0,0,1
S63.511D,0,0,7
S63.511S,0,0,2
S63.519S,0,0,1
S63.521S,0,0,1
S63.591S,0,0,8
S63.599D,0,0,2
S63.609S,0,0,2
S63.636S,0,0,1
S63.637D,0,0,6
S63.641S,0,0,3
S63.642S,0,0,2
S63.651D,0,0,1
S63.652S,0,0,2
S63.92XS,0,0,1
S64.01XS,0,0,6
S64.12XS,0,0,4
S64.22XS,0,0,1
S64.31XS,0,0,3
S64.32XS,0,0,1
S64.40XS,0,0,1
